time,hash-rate
2009-01-10,1.07E-07
2009-01-13,1.70435E-06
2009-01-16,4.31769E-06
2009-01-19,5.55335E-06
2009-01-22,5.68117E-06
2009-01-25,5.61016E-06
2009-01-28,6.15697E-06
2009-01-31,6.80321E-06
2009-02-03,5.8303E-06
2009-02-06,6.19958E-06
2009-02-09,6.36291E-06
2009-02-12,6.36291E-06
2009-02-15,6.41262E-06
2009-02-18,6.22799E-06
2009-02-21,6.19958E-06
2009-02-24,5.85871E-06
2009-02-27,5.53914E-06
2009-03-02,5.3403E-06
2009-03-05,5.27639E-06
2009-03-08,5.37581E-06
2009-03-11,5.47523E-06
2009-03-14,5.54625E-06
2009-03-17,5.69538E-06
2009-03-20,5.809E-06
2009-03-23,5.44683E-06
2009-03-26,5.43262E-06
2009-03-29,5.61016E-06
2009-04-01,5.73799E-06
2009-04-04,5.74509E-06
2009-04-07,5.75219E-06
2009-04-10,5.48233E-06
2009-04-13,5.37581E-06
2009-04-16,5.63146E-06
2009-04-19,5.88712E-06
2009-04-22,5.90132E-06
2009-04-25,5.64567E-06
2009-04-28,5.48943E-06
2009-05-01,5.8303E-06
2009-05-04,5.94393E-06
2009-05-07,6.2706E-06
2009-05-10,5.95813E-06
2009-05-13,5.53204E-06
2009-05-16,5.61016E-06
2009-05-19,6.25639E-06
2009-05-22,5.67407E-06
2009-05-25,4.28218E-06
2009-05-28,4.43842E-06
2009-05-31,5.39001E-06
2009-06-03,5.09885E-06
2009-06-06,4.09755E-06
2009-06-09,2.71986E-06
2009-06-12,3.03233E-06
2009-06-15,4.09755E-06
2009-06-18,3.97682E-06
2009-06-21,3.93421E-06
2009-06-24,3.97682E-06
2009-06-27,3.99813E-06
2009-06-30,3.80639E-06
2009-07-03,3.8561E-06
2009-07-06,4.04784E-06
2009-07-09,3.95552E-06
2009-07-12,3.97682E-06
2009-07-15,3.90581E-06
2009-07-18,3.46552E-06
2009-07-21,2.71276E-06
2009-07-24,2.86899E-06
2009-07-27,3.01812E-06
2009-07-30,2.46421E-06
2009-08-02,1.4345E-06
2009-08-05,1.30667E-06
2009-08-08,2.74827E-06
2009-08-11,4.12595E-06
2009-08-14,3.92001E-06
2009-08-17,2.99682E-06
2009-08-20,1.74696E-06
2009-08-23,8.10E-07
2009-08-26,9.80E-07
2009-08-29,1.55522E-06
2009-09-01,3.25247E-06
2009-09-04,3.82059E-06
2009-09-07,3.60044E-06
2009-09-10,3.32349E-06
2009-09-13,3.3661E-06
2009-09-16,3.30218E-06
2009-09-19,3.55073E-06
2009-09-22,3.56494E-06
2009-09-25,3.18146E-06
2009-09-28,3.55073E-06
2009-10-01,4.42421E-06
2009-10-04,4.01233E-06
2009-10-07,3.30218E-06
2009-10-10,2.96131E-06
2009-10-13,3.25247E-06
2009-10-16,3.46552E-06
2009-10-19,3.11044E-06
2009-10-22,3.99102E-06
2009-10-25,4.29639E-06
2009-10-28,3.79928E-06
2009-10-31,3.22407E-06
2009-11-03,2.47841E-06
2009-11-06,2.49972E-06
2009-11-09,2.9187E-06
2009-11-12,3.29508E-06
2009-11-15,3.53653E-06
2009-11-18,4.11175E-06
2009-11-21,4.28929E-06
2009-11-24,4.24668E-06
2009-11-27,4.40291E-06
2009-11-30,4.06204E-06
2009-12-03,3.74247E-06
2009-12-06,3.42291E-06
2009-12-09,4.27508E-06
2009-12-12,4.91422E-06
2009-12-15,5.35451E-06
2009-12-18,5.92262E-06
2009-12-21,7.83292E-06
2009-12-24,9.00466E-06
2009-12-27,8.11698E-06
2009-12-30,7.81161E-06
2010-01-02,8.04406E-06
2010-01-05,8.79213E-06
2010-01-08,9.46716E-06
2010-01-11,1.0114E-05
2010-01-14,9.73984E-06
2010-01-17,9.86754E-06
2010-01-20,8.87861E-06
2010-01-23,9.02689E-06
2010-01-26,1.01213E-05
2010-01-29,1.13407E-05
2010-02-01,1.27343E-05
2010-02-04,1.25625E-05
2010-02-07,1.51865E-05
2010-02-10,1.82535E-05
2010-02-13,1.7332E-05
2010-02-16,1.83411E-05
2010-02-19,2.27061E-05
2010-02-22,2.57771E-05
2010-02-25,2.93352E-05
2010-02-28,3.12106E-05
2010-03-03,3.28936E-05
2010-03-06,3.2813E-05
2010-03-09,3.27586E-05
2010-03-12,3.2889E-05
2010-03-15,3.15338E-05
2010-03-18,2.99249E-05
2010-03-21,3.18556E-05
2010-03-24,3.76756E-05
2010-03-27,4.24113E-05
2010-03-30,4.27935E-05
2010-04-02,4.61957E-05
2010-04-05,4.86872E-05
2010-04-08,5.06921E-05
2010-04-11,5.54027E-05
2010-04-14,6.63305E-05
2010-04-17,7.56771E-05
2010-04-20,8.13544E-05
2010-04-23,8.77125E-05
2010-04-26,8.8056E-05
2010-04-29,9.42768E-05
2010-05-02,9.43582E-05
2010-05-05,9.16474E-05
2010-05-08,9.10532E-05
2010-05-11,8.98793E-05
2010-05-14,8.43132E-05
2010-05-17,7.52796E-05
2010-05-20,8.44957E-05
2010-05-23,9.91217E-05
2010-05-26,0.00011405
2010-05-29,0.000120973
2010-06-01,0.00012976
2010-06-04,0.000127356
2010-06-07,0.000117784
2010-06-10,0.000124629
2010-06-13,0.000130446
2010-06-16,0.000138394
2010-06-19,0.000133803
2010-06-22,0.00013911
2010-06-25,0.000144811
2010-06-28,0.000151005
2010-07-01,0.000160402
2010-07-04,0.000172253
2010-07-07,0.000183617
2010-07-10,0.000189097
2010-07-13,0.000259352
2010-07-16,0.000805162
2010-07-19,0.001949189
2010-07-22,0.002140111
2010-07-25,0.001661809
2010-07-28,0.001904713
2010-07-31,0.002053183
2010-08-03,0.002355142
2010-08-06,0.002681185
2010-08-09,0.002892422
2010-08-12,0.003194117
2010-08-15,0.003753793
2010-08-18,0.004180413
2010-08-21,0.004148963
2010-08-24,0.004255816
2010-08-27,0.00511352
2010-08-30,0.005394517
2010-09-02,0.00524931
2010-09-05,0.005082152
2010-09-08,0.005082152
2010-09-11,0.00532586
2010-09-14,0.005644937
2010-09-17,0.006343348
2010-09-20,0.007393177
2010-09-23,0.008280541
2010-09-26,0.009327179
2010-09-29,0.00967263
2010-10-02,0.009998576
2010-10-05,0.00944261
2010-10-08,0.009252118
2010-10-11,0.01013238
2010-10-14,0.010879756
2010-10-17,0.012403624
2010-10-20,0.01537384
2010-10-23,0.018211427
2010-10-26,0.019303431
2010-10-29,0.021289385
2010-11-01,0.024659643
2010-11-04,0.02675562
2010-11-07,0.029662377
2010-11-10,0.036757201
2010-11-13,0.042542167
2010-11-16,0.048773157
2010-11-19,0.049707385
2010-11-22,0.049762774
2010-11-25,0.052604858
2010-11-28,0.056664994
2010-12-01,0.065737403
2010-12-04,0.071644549
2010-12-07,0.084272178
2010-12-10,0.091959362
2010-12-13,0.097883712
2010-12-16,0.100478861
2010-12-19,0.1031035
2010-12-22,0.107540866
2010-12-25,0.107120327
2010-12-28,0.11187337
2010-12-31,0.115304717
2011-01-03,0.121784822
2011-01-06,0.122957519
2011-01-09,0.127256994
2011-01-12,0.129008567
